,ferc,eia
63,Clark Fork & Blackfoot LLC,AES Cypress LLC
64,Cleco Power LLC,CLECO Power LLC
65,"Cleveland Electric Illuminating Company, The",A & N Electric Coop
66,Columbus Southern Power Company,Columbus Southern Power Co
67,Commonwealth Edison Company,Commonwealth Edison Co
68,"Commonwealth Edison Company of Indiana, Inc.",Commonwealth Edison Co
69,Commonwealth Electric Company,Commonwealth Electric Co
70,"Connecticut Light and Power Company, The",Connecticut Light & Power Co
71,Connecticut Valley Electric Company Inc.,Connecticut Valley Elec Co Inc
72,Connecticut Yankee Atomic Power Company,Connecticut Yankee Atom Pwr Co
73,Connexus Energy,Acadia Bay Energy Co LLC
74,"Consolidated Edison Company of New York, Inc.",AES Shady Point Inc
75,Consolidated Water Power Company,Consolidated Water Power Co
76,Consumers Energy Company,Consumers Energy Co
77,"Cross Sound Cable Company, LLC",AES Cypress LLC
78,"DATC Path 15, LLC",Adrian Energy Associates LLC
79,Delmarva Power & Light Company,Delmarva Power & Light Co
80,"Delta Natural Gas Company, Inc.",AES Shady Point Inc
81,Deseret Generation & Transmission Cooperative,American Transmission Co
82,Dixie-Escalante Rural Electric Association,A & N Electric Coop
83,"Dixie-Escalante Rural Electric Association, Inc.",AES Shady Point Inc
84,DTE Electric Company,The DTE Electric Company
85,"Duke Energy Carolinas, LLC",Duke Energy Carolinas LLC
86,"Duke Energy Florida, Inc.",A B Energy Inc
